CustomerID,Frequency,Monetary,Recency,Cluster
12347,5.204006687076795,8.368693183097793,0.6931471805599453,VIP loyal customers
12348,3.4339872044851463,7.494007433792304,4.31748811353631,At-risk
12349,4.290459441148391,7.471676072782274,2.9444389791664403,At-risk
12350,2.833213344056216,5.812337881210547,5.736572297479192,One-timers
12352,4.553876891600541,7.343044526295165,3.58351893845611,At-risk
12353,1.3862943611198906,4.48863636973214,5.318119993844216,One-timers
12354,4.060443010546419,6.984160610184542,5.44673737166631,At-risk
12355,2.5649493574615367,6.129921290254998,5.365976015021851,One-timers
12356,4.07753744390572,7.941448529680883,3.1354942159291497,At-risk
12357,4.875197323201151,8.733540903233665,3.49650756146648,VIP loyal customers
12358,2.9444389791664403,7.0630995319318,0.6931471805599453,Regulars
12359,5.537334267018537,8.739621286852918,2.079441541679836,VIP loyal customers
12360,4.859812404361672,7.886855538145075,3.951243718581428,At-risk
12361,2.302585092994046,5.24649761781824,5.659482215759621,One-timers
12362,5.613128106388071,8.54764091883505,1.0986122886681098,VIP loyal customers
12363,3.1354942159291497,6.313548046277095,4.700480365792417,One-timers
12364,4.442651256490317,7.180146032864959,2.079441541679836,VIP loyal customers
12365,3.1354942159291497,5.770474924423112,5.673323267171493,One-timers
12367,2.3978952727983707,5.129306823813755,1.3862943611198906,Regulars
12370,5.117993812416755,8.17348806036476,3.9318256327243257,At-risk
12371,4.143134726391533,7.543252160040332,3.80666248977032,At-risk
12372,3.951243718581428,7.168610713430199,4.276666119016055,At-risk
12373,2.6390573296152584,5.8988008622445625,5.739792912179234,One-timers
12374,3.49650756146648,6.610601827628056,3.218875824868201,Regulars
12375,2.8903717578961645,6.121220070100518,1.0986122886681098,Regulars
12377,4.343805421853684,7.395181253919741,5.752572638825633,At-risk
12378,5.389071729816501,8.296202321420104,4.867534450455582,At-risk
12379,3.713572066704308,6.745577467767493,4.406719247264253,At-risk
12380,4.653960350157523,7.908593020452121,3.091042453358316,VIP loyal customers
12381,4.51085950651685,7.497739527427743,1.6094379124341005,VIP loyal customers
12383,4.605170185988092,7.517145780272948,5.220355825078324,At-risk
12384,3.4011973816621555,6.338876723767529,3.367295829986474,Regulars
12386,2.302585092994046,5.996203301455156,5.823045895483019,One-timers
12388,4.605170185988092,7.930443588579314,2.772588722239781,VIP loyal customers
12390,3.4657359027997265,6.30962732681335,4.382026634673881,At-risk
12391,4.605170185988092,6.133159402810678,3.091042453358316,Regulars
12393,4.158883083359672,7.366824343175093,4.276666119016055,At-risk
12394,3.295836866004329,7.148723031208825,4.158883083359672,At-risk
12395,5.068904202220232,8.00579406989851,2.772588722239781,VIP loyal customers
12397,4.836281906951478,7.787340531847876,3.58351893845611,At-risk
12398,4.442651256490317,7.39980167160342,3.828641396489095,At-risk
12399,4.07753744390572,7.010898337899006,4.77912349311153,At-risk
12401,1.6094379124341005,4.4343818650078095,5.713732805509369,One-timers
12402,2.3978952727983707,5.418763519623904,5.777652323222656,One-timers
12403,1.791759469228055,6.015425184552825,3.912023005428146,One-timers
12405,3.9889840465642745,7.444476693668095,5.003946305945459,At-risk
12406,4.68213122712422,8.095827333776397,3.091042453358316,VIP loyal customers
12407,4.343805421853684,7.443148629491806,3.912023005428146,At-risk
12408,4.727387818712341,7.952463851530794,3.49650756146648,At-risk
12409,4.736198448394496,9.310812659691214,4.3694478524670215,At-risk
12410,3.332204510175204,6.523679773552443,5.707110264748875,One-timers
12412,4.110873864173311,7.112229640417225,4.31748811353631,At-risk
12413,3.688879454113936,6.542688075480811,4.204692619390966,At-risk
12414,2.8903717578961645,6.33223112127721,5.37989735354046,One-timers
12415,6.656726524178391,11.725820276911875,3.1780538303479458,VIP loyal customers
12417,5.288267030694535,8.18278282767344,1.0986122886681098,VIP loyal customers
12418,3.5263605246161616,6.5051560602870175,4.727387818712341,At-risk
12420,3.367295829986474,6.3975794440576434,4.158883083359672,At-risk
12421,3.828641396489095,6.692418674003864,2.772588722239781,Regulars
12422,3.6635616461296463,6.689051855693949,4.564348191467836,At-risk
12423,4.836281906951478,7.522459721234659,0.0,VIP loyal customers
12424,3.4011973816621555,7.473614393871394,5.093750200806762,At-risk
12425,3.58351893845611,6.655697717503285,4.356708826689592,At-risk
